index,AC,Cha,Con,Dex,HP,Int,Str,Type,Wis,alignment,chall,condImmunity,damImmunity,damVuln,languages,name,damResist,senses,size,speed
1568,15.0,13 (+1),14 (+2),15 (+2),122.0,10 (+0),20 (+5),monstrosity,12 (+1),any alignment,9.0,,See Elemental Immunity.,See Elemental Weakness.,"Celestial, Common, Lusi'ir, and any one other",Lusi'ir,,"Senses. The lusi'ir has advantage on Wisdom (Perception) checks that rely on hearing, sight, or smell.",Large,"45 ft., climb 40 ft., swim 30 ft."
1569,15.0,16 (+3),17 (+3),14 (+2),102.0,12 (+1),19 (+4),dragon,14 (+2),neutral evil,8.0,"charmed, frightened",,,"Common, Draconic, Undercommon, telepathy 120 ft.",Luring Dragon,"acid, psychic; bludgeoning, piercing, and slashing from nonmagical attacks","blindsight 60 ft., darkvision 120 ft., ",Large,"30 ft., climb 30 ft., fly 60 ft."
1570,13.0,6 (-2),17 (+3),20 (+5),52.0,6 (-2),13 (+1),beast,13 (+1),lawful neutral,7.0,"charmed, frightened",,,—,Lunar Wolf Companion,,,Large,"50 ft., swim 30 ft."
1571,12.0,12 (+1),14 (+2),13 (+1),38.0,4 (-3),9 (-1),plant,17 (+3),"plant, unaligned",2.0,,,fire,—,Lullabile,,,Small,30 ft.
1573,23.0,20 (+5),25 (+7),28 (+9),254.0,18 (+4),16 (+3),humanoid,24 (+7),lawful neutral,21.0,"Charmed, frightened, petrified",,,"Common, Elven, Undercommon","Lucian, the Purifier","Necrotic, radiant; bludgeoning, piercing and slashing damage.",passive perception 24,Medium,"Blaze (Recharge 5-6). Lucian shoots a missile that explodes in a star shape marking enemies. He gains Movement Speed for attacking marked enemies. Lucian chooses a point within 60 ft. of him. This point can be in the air. When the missile detonates, it does so in the shape of an even four-pointed star, oriented with one point facing Lucian. The points reach 10 ft. from the center parallel to the ground. Targets hit by the center or the points of Ardent Blaze make a DC 20 Constitution saving throw. Targets take 33 (6d10) radiant damage on a failed save and half as much on a success. Affected creatures are marked with a bright, radiating spot of light regardless of succeeding on the save for one round. If Lucian hits a marked creature, he gains an extra 5 ft. of movement until the end of his turn."
1574,25.0,30 (+10),30 (+10),30 (+10),1963.0,30 (+10),30 (+10),humanoid,30 (+10),neutral evil,40.0,"blinded, charmed, deafened, exhaustion, frightened, grappled, incapacitated, paralyzed, petrified, poisoned, prone, restrained, stunned, unconscious",nonmagical damage,,all languages,Lucian Grace,all magical damage,,medium,"60 ft, climb 25 ft, swim 50 ft"
1576,,12 (+1),20 (+5),16 (+3),123.0,10 (+0),20 (+5),humanoid,12 (+1),chaotic evil,12.0,charmed,"bludgeoning, piercing, and slashing damage from nonmagical attacks not made with silvered weapons",,Common (can't speak in wolf form),Loup-Garou,"poison, psychic","darkvision 60 ft., ",Medium,30 ft. (50 ft. in wolf form)
1577,15.0,13 (+1),17 (+3),8 (-1),189.0,20 (+5),18 (+4),aberration,24 (+7),chaotic evil,11.0,frightened,psychic,,"Correspondence, Deep Speech, telepathy 60 ft.",Lornest Fluke,,"blindsight 60 ft., darkvision 120 ft., ",Gargantuan,"10 ft., swim 50 ft."
1578,17.0,13 (+1),18 (+4),8 (-1),203.0,20 (+5),20 (+5),aberration,21 (+5),chaotic evil,13.0,frightened,psychic,,"Correspondence, Deep Speech, telepathy 60 ft.",Lorn Fluke,,"blindsight 60 ft., darkvision 90 ft., ",Gargantuan,"10 ft., swim 50 ft."
1580,15.0,8 (-1),16 (+3),7 (-2),175.0,5 (-3),21 (+5),monstrosity,13 (+1),"monstrosity, neutral",7.0,Prone,Acid,,—,Lonely Cottage,,"Darkvision 120 ft., ",Large,30 ft.
1581,23.0,30 (+10),30 (+10),30 (+10),615.0,26 (+8),22 (+6),fiend,26 (+8),chaotic evil,30.0,"blinded, charmed, deafened, exhaustion, frightened, paralyzed, poisoned, stunned","acid, cold, lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks",,"all, telepathy 120 ft.","Lolth, Goddess of Spiders","fire, damage from spells","blindsight 240 ft., tremorsense 240 ft., truesight 240 ft., ",Gargantuan,"60 ft., climb 60 ft."
1582,12.0,9 (-1),10 (+0),20 (+5),80.0,11 (+0),16 (+3),humanoid,13 (+1),chaotic evil,6.0,,,,"Elvish, Undercommon",Lolth's Finger,,"Darkvision 120 feet., ",Medium,40 feet
1583,16.0,9 (-1),15 (+2),12 (+1),52.0,8 (-1),18 (+4),humanoid,12 (+1),"(lizardfolk), neutral",5.0,poisoned,poison,,Draconic,Spikeback Lizardfolk,,,Medium,30 ft.
1584,16.0,10 (+0),15 (+2),12 (+1),65.0,10 (+0),17 (+3),humanoid,14 (+2),"(lizardfolk), neutral",5.0,poisoned,poison,,Draconic,Lizardfolk Guardian,,,Medium,"30 ft., swim 30 ft."
1585,16.0,12 (+1),14 (+2),16 (+3),52.0,12 (+1),16 (+3),humanoid,18 (+4),"(lizardfolk), neutral",8.0,poisoned,poison,,"Common, Draconic",Lizardfolk Cleric,,,Medium,"30 ft., swim 30 ft."
1586,17.0,9 (-1),18 (+4),15 (+2),76.0,9 (-1),19 (+4),humanoid,16 (+3),"(lizardfolk), neutral",5.0,,,,Draconic,Lizardfolk Chief,,,Medium,"30 ft., swim 30 ft."
1587,15.0,14 (+2),16 (+3),10 (+0),95.0,7 (-2),20 (+5),undead,8 (-1),chaotic evil,6.0,"exhaustion, frightened, poisoned, prone, restrained","necrotic, poison",radiant,any language known by absorbed creatures,"Living Wall, Labyrinth","cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","truesight 60 ft. (blind beyond this radius), ",Huge,0 ft.
1588,19.0,8 (-1),17 (+3),10 (+0),171.0,11 (+0),20 (+5),undead,12 (+1),chaotic evil,8.0,"exhaustion, poisoned","necrotic, poison",,any language known by absorbed creatures,Living Wall,,"darkvision 60 ft., ",Huge,0 ft.
1589,7.0,1 (-5),11 (+0),5 (-3),54.0,1 (-5),5 (-3),construct,5 (-3),"construct, unaligned",3.0,"blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned, prone","poison, psychic",,—,Living Stinking Cloud,"bludgeoning, piercing, and slashing from nonmagical attacks","blindsight 60 ft. (blind beyond this radius), ",Huge,"0 ft., fly 30 ft. (hover)"
1590,13.0,3 (-4),18 (+4),16 (+3),59.0,4 (-3),16 (+3),plant,5 (-3),"plant, unaligned",2.0,"blinded, charmed, deafened, exhaustion, frightened, paralyzed, prone, unconscious",,"fire, slashing",—,Living Root,"bludgeoning, piercing","blindsight 30 ft. (blind beyond this radius), ",Medium,0 ft.
1591,13.0,18 (+4),10 (+0),16 (+3),167.0,22 (+6),12 (+1),aberration,17 (+3),"aberration, neutral",38.0,"blinded, charmed, deafened, exhaustion, frightened, prone, sleep","bludgeoning, piercing and slashing damage from nonmagical weapons",,—,Living Dimension,,"blindsight 120 ft., passive perception 24",Colossal,fly (hover) 60 ft.
1592,11.0,3 (-4),12 (+1),10 (+0),3.0,4 (-3),4 (-3),undead,6 (-2),lawful evil,0.0,,,,understands the languages of its creator but can't speak,Liver Leech,,,Tiny,"15 ft., climb 15 ft."
1594,17.0,10 (+0),20 (+5),10 (+0),126.0,9 (-1),20 (+5),elemental,12 (+1),"elemental, neutral",9.0,"exhaustion, paralyzed, petrified, poisoned, prone, unconscious",poison,,"Auran, Terran",Lithic Fistslinger,"lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 60 ft., tremorsense 60 ft., ",Large,"30 ft., burrow 30 ft., fly 30 ft. (hover)"
1595,16.0,7 (-2),19 (+4),16 (+3),199.0,4 (-3),25 (+7),beast,11 (+0),"reptile), unaligned",10.0,,,,—,Liopluerodon,,,Huge,"0 ft., swim 90 ft."
1596,21.0,19 (+4),24 (+7),16 (+3),350.0,19 (+4),25 (+7),dragon,17 (+3),neutral evil,22.0,poisoned,poison,,"Common, Draconic",Lindworm,"bludgeoning, piercing, and slashing from nonmagical attacks","blindsight 60 ft., darkvision 120 ft., ",Gargantuan,"50 ft., burrow 20 ft., climb 40 ft."
1597,17.0,18 (+4),17 (+3),17 (+3),102.0,13 (+1),18 (+4),celestial,16 (+3),chaotic good,6.0,"charmed, poisoned",poison,,"Celestial, Elven, Sylvan",Lillend,"cold, fire, lightning; bludgeoning, piercing and slashing from nonmagical attacks that aren't cold iron","darkvision 60 ft., ",Large,"30 ft., fly 60 ft."
1598,17.0,26 (+8),18 (+4),19 (+4),119.0,19 (+4),17 (+3),fiend,20 (+5),neutral evil,7.0,"exhaustion, poisoned","lightning, poison",,"Abyssal, Common, Infernal, telepathy 120 ft.",Lilitu,"acid, cold, fire; bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 120 ft., ",Medium,"30 ft., fly 60 ft."
1599,8.0,5 (-3),19 (+4),7 (-2),95.0,1 (-5),14 (+2),plant,8 (-1),"plant, unaligned",5.0,"blinded, charmed, deafened, exhaustion, frightened, paralyzed, poisoned",poison,fire,—,Like Like,acid,"tremorsense 30 ft. (blind beyond the radius of tremorsense), ",Large,20 ft.
1600,19.0,14 (+2),19 (+4),17 (+3),399.0,16 (+3),20 (+5),legendary,20 (+5),"monstrosity, neutral",20.0,"Frighten, Terrified, Petrified, Intimidation, heat, cold","Bludgeoning, Grappling, Fire, Ice, Thunder, Lightning","Poison, Piercing, Sleep, Jronian Capture Spell","Common, animal speak, telepathy (Can speak only 4 words per time they speak verbally in Common.)",Ligrothian (Ligro),"Slashing, Charmed, Ensnaring, Magic, Radiant",,Large,"The Ligrothian can climb sheer cliffs much like a gargoyle, trees, and more as long as the surface can hold his weight. Climb Speed is 40 feet."
1601,12.0,9 (-1),14 (+2),15 (+2),60.0,3 (-4),17 (+3),monstrosity,12 (+1),"monstrosity, unaligned",3.0,,,,—,Lightning Tiger,lightning,"darkvision 60 ft., ",Large,40 ft.
1602,16.0,1 (-5),19 (+4),22 (+6),133.0,3 (-4),18 (+4),construct,10 (+0),"construct, unaligned",13.0,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned, prone","lightning, poison, psychic, thunder; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine",,understands the languages of its creator but can't speak,Lightning Golem,,"darkvision 120 ft., ",Large,"0 ft., fly 60 ft. (hover)"
1603,16.0,8 (-1),12 (+1),16 (+3),39.0,6 (-2),14 (+2),monstrosity,16 (+3),neutral evil,3.0,"exhaustion, frightened","lightning, thunder",fire,understands Common but can't speak,Lightning Bird,"bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 60 ft., ",Large,"20 ft., fly 60 ft."
1604,15.0,12 (+1),10 (+0),20 (+5),14.0,10 (+0),1 (-5),elemental,14 (+2),"elemental, neutral",1.0,"blinded, charmed, deafened, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained","radiant, poison, psychic",,"Celestial, Primordial",Light Orb,"bludgeoning, piercing, and slashing from nonmagical attacks","blindsight 60 ft. (blind beyond this radius), ",Small,"0 ft., fly 40 ft. (hover)"
1605,16.0,9 (-1),18 (+4),15 (+2),59.0,11 (+0),17 (+3),humanoid,13 (+1),neutral evil,5.0,,,,Common,Light Darknut,piercing and slashing damage from nonmagical attacks that aren't adamantine,,Medium,30 ft.
1606,14.0,3 (-4),26 (+8),7 (-2),277.0,1 (-5),24 (+7),construct,9 (-1),"construct, unaligned",14.0,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned, stunned, unconscious","cold, poison",,—,Lifeberg,,"blindsight 120 ft. (blind beyond this radius), ",Gargantuan,"5 ft., swim 40 ft."
1607,15.0,19 (+4),16 (+3),17 (+3),127.0,17 (+3),14 (+2),aberration,15 (+2),evil alignment,8.0,poisoned,poison,radiant,Common and any three others,Life Drainer,"cold, fire, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","darkvision 60 ft., ",Medium,30 ft.
1608,22.0,18 (+4),18 (+4),14 (+2),488.0,20 (+5),10 (+0),undead,12 (+1),chaotic evil,26.0,"charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained","necrotic, poison; bludgeoning, piercing, and slashing damage from nonmagical attacks that aren't silvered",radiant,the languages it knew in life,Lich Wraith,"acid, cold, fire, lightning, thunder","blindsight 60 ft., darkvision 120 ft., ",Medium,"0 ft., fly 90 ft. (hover)"
1609,23.0,22 (+6),28 (+9),14 (+2),546.0,18 (+4),30 (+10),dragon,14 (+2),chaotic neutral,25.0,"frightened, paralyzed","cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,"understands Abyssal, Common, Celestial, Draconic, Infernal, and Primordial but can't speak, telepathy 120 ft.",Vo'Dar Leviathan Dragon,,"truesight 120 ft., ",Gargantuan,"20 ft., swim 50 ft."
1610,13.0,12 (+1),16 (+3),20 (+5),115.0,10 (+0),18 (+4),monstrosity,12 (+1),chaotic evil,3.0,"Stunned, Blinded, Prone",,Radiant,Nitemaehr,Lesser Nitemaehr,"Necrotic, Poison. Piercing from Nonmagical Weapons","Darkvision 120ft, Truesight 200ft, ",Medium,"60 ft. walking, 10 ft. swimming"
1611,12.0,14 (+2),14 (+2),14 (+2),44.0,8 (-1),8 (-1),monstrosity,10 (+0),neutral evil,1.0,,lightning,,"Auran, Common",Lesser Izula,thunder,"darkvision 60 ft., ",Small,"20 ft., fly 50 ft."
1612,16.0,10 (+0),15 (+2),10 (+0),19.0,9 (-1),14 (+2),humanoid,10 (+0),chaotic evil,1.0,charmed,,,Common,Lesser Forsaken of the Lidless Eye,,,Medium,30 ft.
1614,13.0,12 (+1),13 (+1),17 (+3),18.0,11 (+0),10 (+0),celestial,14 (+2),lawful good,1.0,,psychic,,"all, telepathy 120 ft.",Lesser Couatl,"radiant; bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 120 ft., ",Small,"20 ft., fly 40 ft."
1615,15.0,13 (+1),12 (+1),14 (+2),12.0,11 (+0),12 (+1),dragon,12 (+1),chaotic evil,1.0,,Acid,,— Draconic,Lesser Black Dragon Wyrmling,,"blindsight 5 ft., darkvision 60 ft., ",Small,20
1616,11.0,3 (-4),19 (+4),7 (-2),51.0,3 (-4),14 (+2),undead,8 (-1),chaotic evil,3.0,poisoned,poison,,understands the languages it knew in life but can't speak,Lesion,"bludgeoning, piercing, and slashing from nonmagical attacks",,Medium,"20 ft, fly 10 ft. (hover)"
1617,14.0,10 (+0),16 (+3),12 (+1),59.0,10 (+0),19 (+4),fey,20 (+5),neutral alignment,3.0,,,,"Common, Primordial, Sylvan",Leshy,,"darkvision 60 ft., ",Large,40 ft.
1619,22.0,20 (+5),26 (+8),13 (+1),314.0,15 (+2),28 (+9),monstrosity,18 (+4),neutral evil,20.0,"frightened, petrified, poisoned",poison,,"Abyssal, Common, Draconic, Infernal, telepathy 120 ft.",Lernaean Hydra,"bludgeoning, piercing and slashing from nonmagical attacks","darkvision 120 ft., truesight 120 ft., ",Gargantuan,"40 ft., swim 40 ft."
1620,14.0,11 (+0),10 (+0),14 (+2),60.0,10 (+0),18 (+4),construct,15 (+2),"construct, unaligned",4.0,Grappled,,,Understands Common and Abyssal but can't speak,Leophidian,Poison,,Medium,45 ft.
1621,15.0,16 (+3),13 (+1),14 (+2),91.0,10 (+0),17 (+3),fey,12 (+1),good alignment,5.0,,,,"Common, Sylvan",Leomhann Sidhe,,,Large,40 ft.
1622,16.0,11 (+0),12 (+1),14 (+2),22.0,10 (+0),12 (+1),celestial,10 (+0),more common,1.0,"paralyzed, petrified, prone, unconscious",psychic,,"Common, telepathy 60 ft.","Lemma Vissiv, Lesser","bludgeoning, piercing, and slashing from nonmagical attacks",,Medium,30 ft.
1623,16.0,16 (+3),16 (+3),10 (+0),93.0,14 (+2),19 (+4),celestial,18 (+4),often neutral,4.0,"paralyzed, petrified, prone, unconscious",psychic,,"Common, telepathy 120 ft.","Lemma Vissiv, Greater","bludgeoning, piercing, and slashing from nonmagical attacks",,large,30 ft
1624,13.0,13 (+1),15 (+2),13 (+1),39.0,12 (+1),18 (+4),celestial,16 (+3),any alignment,1.0,"paralyzed, petrified, prone, unconscious",psychic,,"understands Common, but can't speak, telepathy 120 ft.","Lemma Kertwyn, Giant",,,medium,"0 ft., fly 40 ft. (hover)"
1625,10.0,12 (+1),10 (+0),10 (+0),4.0,8 (-1),8 (-1),celestial,8 (-1),any alignment,0.0,unconscious,,,"any one, often sepentri","Lemma Ego, Minor",,,Medium,30 ft.
1626,18.0,12 (+1),15 (+2),13 (+1),130.0,7 (-2),15 (+2),humanoid,10 (+0),neutral evil,10.0,,,,Bullywug and one other language,Legendary Bullywug,,,Medium,"20 ft., swim 40 ft."
1627,12.0,5 (-3),13 (+1),13 (+1),44.0,2 (-4),14 (+2),plant,12 (+1),"plant, unaligned",1.0,blinded,,,—,Leever,,"tremorsense 60 ft. (blind to anything not detected by tremorsense), ",Medium,"40 ft., burrow 30 ft."
1629,17.0,3 (-4),22 (+6),27 (+8),264.0,4 (-3),27 (+8),giant,7 (-2),chaotic evil,18.0,"charmed, frightened, poisoned","acid, poison","bludgeoning, psychic",—,Lead Titan,,"blindsight 60 ft., darkvision 120 ft., ",Gargantuan,"40 ft., climb 40 ft."
1630,18.0,9 (-1),18 (+4),25 (+7),,10 (+0),20 (+5),humanoid,24 (+7),lawful neutral,21.0,Blinded,,,Common (All dialects),"Lee Sin, the Blind Monk",,"blindsight 60 feet, ",Medium,60 ft.
1631,17.0,5 (-3),20 (+5),27 (+8),138.0,4 (-3),24 (+7),giant,7 (-2),chaotic evil,9.0,"frightened, poisoned",poison,"bludgeoning, psychic",—,Lead Giant,,"darkvision 120 ft., ",Huge,"40 ft., climb 40 ft."
1632,13.0,2 (-4),16 (+3),16 (+3),22.0,2 (-4),12 (+1),ooze,14 (+2),"ooze, unaligned",1.0,"blinded, charmed, deafened, exhaustion, frightened, poisoned, prone, unconscious","acid, fire, poison, psychic",,—,Lava Slime,,"blindsight 60 ft. (blind beyond this radius), ",Medium,30 ft.
1633,17.0,13 (+1),15 (+2),10 (+0),32.0,12 (+1),17 (+3),dragon,12 (+1),chaotic good,2.0,poisoned,poison,,Draconic,Lead Dragon Wyrmling,,"blindsight 10 ft., darkvision 60 ft., ",Medium,"30 ft., fly 60 ft., swim 30 ft."
1634,17.0,7 (-2),20 (+5),12 (+1),168.0,7 (-2),20 (+5),elemental,10 (+0),"elemental, neutral",14.0,"exhaustion, paralyzed, petrified, poisoned, unconscious","fire, poison",cold,"Ignan, Terran",Lavalance,"bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 60 ft., ",Large,"30 ft., burrow 30 ft."
1635,15.0,2 (-4),20 (+5),7 (-2),147.0,3 (-4),23 (+6),construct,10 (+0),"construct, unaligned",11.0,"charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, restrained","fire, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine",cold,understands the languages of its creator but can't speak,Lava Golem,,"darkvision 120 ft., ",Large,25 ft.
1637,15.0,8 (-1),10 (+0),20 (+5),20.0,8 (-1),5 (-3),construct,11 (+0),lawful neutral,2.0,"poisoned, prone","poison, psychic","bludgeoning, lightning",understands Common but cannot speak,Laser Orb,,"blindsight 60 ft., ",Tiny,"0 ft., fly 60 ft. (hover)"
1639,15.0,12 (+1),18 (+4),14 (+2),142.0,11 (+0),18 (+4),monstrosity,14 (+2),chaotic neutral,5.0,,,,"Common, Undercommon",Large Breed Arachne,poison,"darkvision 120 ft., ",Large,"30 ft., burrow 30 ft., climb 30 ft."
1640,13.0,4 (-3),12 (+1),10 (+0),26.0,4 (-3),17 (+3),plant,10 (+0),"plant, unaligned",1.0,"blinded, charmed, deafened, frightened",psychic,fire,understands languages of its creator but can't speak,Large Awakened,,"blindsight 40 ft. (blind beyond this radius), ",Large,35 ft.
1641,16.0,12 (+1),15 (+2),12 (+1),90.0,3 (-4),18 (+4),monstrosity,14 (+2),chaotic neutral,4.0,,,,—,Lanmola,lightning,"tremorsense 30 ft., darkvision 60 ft., ",Large,"40 ft., burrow 40 ft."
1642,18.0,13 (+1),20 (+5),3 (-4),136.0,5 (-3),19 (+4),beast,12 (+1),"beast, unaligned",8.0,Prone,,,—,Land Whale,,"darkvision 60ft., passive perception 11",Large,"40ft., burrow 40ft."
1643,17.0,20 (+5),20 (+5),14 (+2),178.0,12 (+1),22 (+6),monstrosity,16 (+3),chaotic neutral,14.0,"charmed, frightened",psychic,,"Common, Sylvan, Sphinx",Lammasu,"bludgeoning, piercing, and slashing from nonmagical attacks","truesight 120 ft., ",Large,"40 ft., fly 60 ft."
1644,15.0,20 (+5),16 (+3),16 (+3),112.0,10 (+0),16 (+3),undead,14 (+2),neutral evil,9.0,,necrotic,,Common,Lamia Dominatrix,"acid, psychic; bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 60 ft., ",Medium,"30 ft., fly 30 ft. (hover), swim 40 ft."
1647,14.0,9 (-1),12 (+1),16 (+3),26.0,8 (-1),18 (+4),beast,12 (+1),"beast, unaligned",1.0,,,,,Laelaps,,,Large,40 ft.
1648,,25 (+7),22 (+6),25 (+7),437.0,18 (+4),14 (+2),undead,18 (+4),chaotic neutral,30.0,"charmed, frightened, exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, blind","necrotic, poison; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons",,"all, telepathy 120 ft.","Lady Illugas, Scourge of Pain","acid, cold, fire, lightning, thunder","darkvision 120 ft., truesight 90 ft., ",Medium,"30 ft., fly 90 ft."
1651,20.0,16 (+3),19 (+4),11 (+0),273.0,14 (+2),21 (+5),fiend,14 (+2),chaotic evil,22.0,"exhaustion, paralyzed, petrified, poisoned","cold, lightning, poison",radiant,"Abyssal, telepathy 120 ft.",Awakened Kurt Zisa,"acid, fire, necrotic; bludgeoning, piercing, and slashing from nonmagical weapons","darkvision 120 ft., ",Huge,30 ft.
1652,20.0,3 (-4),18 (+4),10 (+0),136.0,3 (-4),20 (+5),construct,14 (+2),neutral evil,16.0,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned","poison, psychic",,Understands common but can't speak.,Kurt Zisa,,"tremorsense 60 ft., ",Huge,30 ft.
1653,14.0,7 (-2),27 (+8),8 (-1),232.0,4 (-3),25 (+7),beast,13 (+1),"beast, unaligned",13.0,,,,—,Kurajaku,,"Blind Senses. If outside of water, the kurajaku cannot use its blindsight.",Huge,"25 ft. (40 ft. while underwater), swim 15 ft."
1654,18.0,4 (-3),22 (+6),18 (+4),330.0,1 (-5),28 (+9),monstrosity,8 (-1),"monstrosity, unaligned",15.0,"blinded, charmed, deafened, exhaustion, frightened, prone","fire, thunder, acid; nonmagical piercing, slashing, and bludgeoning","cold, poison",—,Kundalini,"magical piercing, slashing, and bludgeoning","blindsight 30 ft., Blindsight 60 ft., ",Gargantuan,"50 ft., swim 50 ft."
1655,13.0,8 (-1),16 (+3),10 (+0),59.0,7 (-2),20 (+5),humanoid,10 (+0),"(lizardfolk), neutral",3.0,,,,Draconic,Kroxigor,,"darkvision 60 ft., ",Large,"30 ft., swim 30 ft."
1656,14.0,6 (-2),20 (+5),16 (+3),120.0,2 (-4),26 (+8),creature,11 (+0),"creature, unaligned",7.0,,,,—,Kronosaurus,,,Huge,55 ft
1657,14.0,13 (+1),18 (+4),14 (+2),123.0,12 (+1),19 (+4),monstrosity,14 (+2),neutral alignment,4.0,,,,"Common, Giant, Goblin, Orc",Krakkonor,,"darkvision 60 ft., ",Large,"50 ft., swim 30 ft."
1658,16.0,20 (+5),28 (+9),10 (+0),520.0,17 (+3),30 (+10),aberration,16 (+3),neutral evil,24.0,paralyzed,"cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,"Aquan, Common, Undercommon, telepathy 60 ft.",Krakentua,,"darkvision 120 ft., ",Gargantuan,40 ft. swim 30 ft.
1659,14.0,10 (+0),16 (+3),16 (+3),85.0,10 (+0),16 (+3),dragon,12 (+1),chaotic neutral,5.0,,,cold,"Common, Draconic",Kongamato,"fire, poison","darkvision 60 ft., ",Large,"30 ft., fly 80 ft., swim 30 ft."
1660,16.0,20 (+5),14 (+2),14 (+2),117.0,16 (+3),12 (+1),celestial,12 (+1),chaotic good,7.0,,"cold, fire, lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks",,"Celestial, Common, Giant, Sylvan",Kitsune Kami,,"darkvision 120 ft., ",Medium,"40 ft., fly 40 ft."
1662,20.0,9 (-1),16 (+3),11 (+0),102.0,7 (-2),17 (+3),monstrosity,14 (+2),"monstrosity, neutral",6.0,,,,"Common, Koleotrix",Koleotrix,,"darkvision 60 ft., ",Large,"30 ft., fly 30 ft."
1663,15.0,5 (-3),16 (+3),11 (+0),68.0,3 (-4),14 (+2),monstrosity,12 (+1),"monstrosity, unaligned",9.0,,,,understands and speaks languages of both pilots,Ko-Ax,"acid, cold, fire, force, lightning, necrotic, poison, radiant, thunder; bludgeoning, piercing, and slashing from nonmagical weapons","darkvision 120 ft., ",Large,30 ft.
1664,18.0,11 (+0),15 (+2),12 (+1),120.0,11 (+0),25 (+7),aberration,14 (+2),lawful evil,7.0,,,,understands Blin and Stal but can't speak,Knucklemaster,,"blindsight 90 ft., truesight 30 ft., ",Large,"30 ft., fly 40 ft. (hover)"
1665,12.0,7 (-2),19 (+4),9 (-1),76.0,5 (-3),20 (+5),giant,7 (-2),chaotic evil,4.0,,,,understands Common and Giant but can't speak,Knuckledragger,,"darkvision 60 ft., ",Large,40 ft.
1667,16.0,26 (+8),19 (+4),22 (+6),178.0,24 (+7),14 (+2),fey,22 (+6),neutral alignment,19.0,"charmed, paralyzed, petrified","bludgeoning, piercing, and slashing damage from nonmagical attacks",,"Common, Elvish, Sylvan and any three others, telepathy 120 ft.",Kitsune,"acid, cold, force, fire, lightning, psychic",Senses. The kitsune always knows when any fey are within 30 feet of it.,Medium,"35 ft. (40 ft., climb 30 ft. in fox form)"
1668,15.0,18 (+4),13 (+1),15 (+2),66.0,14 (+2),12 (+1),fey,16 (+3),chaotic evil,2.0,,,,"Common, Sylvan, often many other languages",Kismekilyu,,,Medium,30 ft.
1669,24.0,30 (+10),26 (+8),26 (+8),350.0,18 (+4),25 (+7),humanoid,24 (+7),chaotic evil,25.0,"charmed, poisoned","cold, necrotic, poison",,"Abyssal, Common, Infernal",Kishin,"acid, fire","darkvision 120 ft., ",Medium,"40 ft., fly 60 ft."
1670,13.0,11 (+0),14 (+2),16 (+3),90.0,17 (+3),15 (+2),monstrosity,8 (-1),"monstrosity, neutral",6.0,,,,telepathy 60 ft.,Kirre,psychic,,Large,"60 ft., climb 40 ft., fly 20 ft."
1672,20.0,7 (-2),13 (+1),12 (+1),19.0,6 (-2),18 (+4),celestial,12 (+1),lawful good,1.0,poisoned,poison,,understands Draconic but can't speak,Kirinzhai,,"darkvision 120 ft., ",Large,60 ft.
1673,13.0,15 (+2),17 (+3),9 (-1),76.0,15 (+2),22 (+6),fey,16 (+3),neutral good,6.0,,,,"Common, Elvish, Sylvan, Undercommon, telepathy 60 ft.",Kirillion,psychic,"blindsight 60 ft., darkvision 120 ft., ",Huge,40 ft.
1674,20.0,6 (-2),27 (+8),6 (-2),333.0,1 (-5),27 (+8),beast,10 (+0),"beast, unaligned",18.0,,,,—,Kipourotitan,,,Gargantuan,30 ft
1675,18.0,20 (+5),20 (+5),16 (+3),155.0,16 (+3),18 (+4),celestial,19 (+4),lawful good,11.0,"charmed, exhaustion, frightened",,,"all, telepathy 120 ft.",Kinship,"radiant; bludgeoning, piercing, and slashing from nonmagical weapons",darkvision 120 ft.; ,Gargantuan,"0 ft., fly 90 ft."
1676,19.0,9 (-1),20 (+5),7 (-2),195.0,4 (-3),20 (+5),dragon,13 (+1),chaotic evil,11.0,,,thunder,—,King Dodongo,fire,"darkvision 120 ft., tremorsense 10 ft., ",Huge,"40 ft., burrow 10 ft."
